Nodes	45
# Key	E	L	R	T	B
# Row 1
Edges	0	N	1	N	6
Edges	1	0	2	N	7
Edges	2	1	3	N	8
Edges	3	2	4	N	9
Edges	4	3	N	N	10
# Row 2
Edges	5	N	6	N	12
Edges	6	5	7	0	13
Edges	7	6	8	1	14
Edges	8	7	9	2	15
Edges	9	8	10	3	16
Edges	10	9	11	4	17
Edges	11	10	N	N	18
# Row 3
Edges	12	N	13	5	19
Edges	13	12	14	6	20
Edges	14	13	15	7	21
Edges	15	14	16	8	22
Edges	16	15	17	9	23
Edges	17	16	18	10	24
Edges	18	17	N	11	25
# Row 4
Edges	19	N	20	12	26
Edges	20	19	21	13	27
Edges	21	20	22	14	28
Edges	22	21	23	15	29
Edges	23	22	24	16	30
Edges	24	23	25	17	31
Edges	25	24	N	18	32
# Row 5
Edges	26	N	27	19	33
Edges	27	26	28	20	34
Edges	28	27	29	21	35
Edges	29	28	30	22	36
Edges	30	29	31	23	37
Edges	31	30	32	24	38
Edges	32	31	N	25	39
# Row 6
Edges	33	N	34	26	N
Edges	34	33	35	27	40
Edges	35	34	36	28	41
Edges	36	35	37	29	42
Edges	37	36	38	30	43
Edges	38	37	39	31	44
Edges	39	38	N	32	N
# Row 7
Edges	40	N	41	34	N
Edges	41	40	42	35	N
Edges	42	41	43	36	N
Edges	43	42	44	37	N
Edges	44	43	N	38	N
